Name,Article_ID_x,Date_x,repeat_x,Article_ID_y,Date_y,repeat_y,career_length,Gender
Alaitz Zabala,6621699,2020-06-19,True,6720600,2021-04-09,True,294 days,F
Alba Cristina Magalhaes Alves de Melo,6697577,2020-04-01,True,6620157,2022-06-13,True,803 days,F
Alba Martín-Yebra,6762241,2021-06-01,True,6759096,2022-12-07,True,554 days,F
Alejandra Andrea Segura Navarrete,6619186,2022-03-15,True,6756986,2022-06-23,True,100 days,F
Alejandra C. Hernández,6680185,2021-09-16,True,6682813,2023-01-15,True,486 days,F
Alejandra Caqueo-Urízar,6775197,2020-03-31,True,6774511,2020-05-30,True,60 days,F
Alejandra Cechich,6641928,2020-10-06,True,6706606,2021-08-26,True,324 days,F
Alejandra Ferreira de Loza,6595253,2020-07-22,True,6593967,2021-07-23,True,366 days,F
Alejandra Garrido 0001,6619636,2022-01-17,True,6614270,2022-05-24,True,127 days,F
Alejandra M. Planisich,6747528,2022-02-01,True,6749270,2022-10-02,True,243 days,F
Alejandra Nieto-Garibay,6607484,2021-10-05,True,6709405,2022-12-05,True,426 days,F
Aleksandra Cerekovic,6643250,2018-06-26,True,6725332,2020-04-24,True,668 days,F
Aleksandra M. Cvetkovic,6783775,2020-08-26,True,6783752,2020-09-05,True,10 days,F
Aleksandra Pizurica,6659336,2020-02-20,True,6678514,2022-12-07,True,1021 days,F
Aleksandra Rashkovska,6703891,2020-05-21,True,6731502,2022-07-27,True,797 days,F
Aleksandra S. Panajotovic,6783970,2020-07-30,True,6783775,2020-08-26,True,27 days,F
Alena Halousková,6726265,2021-02-17,True,6728041,2021-10-14,True,239 days,F
Alena Kozáková,6593593,2020-07-22,True,6726948,2021-02-17,True,210 days,F
Alena Neviarouskaya,6725248,2020-04-24,True,6623602,2020-07-22,True,89 days,F
Alena Vondráková,6721478,2020-08-25,True,6719088,2021-10-25,True,426 days,F
Alessandra Agostini,6598264,2020-06-05,True,6699767,2020-09-29,True,116 days,F
Alessandra Barbieri,6728518,2022-01-17,True,6621704,2022-08-08,True,203 days,F
Alessandra Bertoldo,6761064,2020-09-02,True,6761092,2022-10-02,True,760 days,F
Alessandra Carbone,6768644,2018-11-14,True,6565886,2021-02-17,True,826 days,F
Alessandra Cherubini,6640466,2020-06-18,True,6569953,2022-09-16,True,820 days,F
Alessandra Di Pierro,6576704,2007-08-30,True,6574147,2022-04-09,True,5336 days,F
Alessandra Fascioli,6661550,2020-02-20,True,6679735,2020-02-24,True,4 days,F
Alessandra Flammini,6580415,2020-03-12,True,6602517,2022-06-23,True,833 days,F
Alessandra Galli,6599399,2020-06-08,True,6604726,2022-12-07,True,912 days,F
Alessandra Gorini,6775345,2021-10-14,True,6775093,2022-08-08,True,298 days,F
Alessandra Lumini,6714777,2017-05-26,True,6745049,2022-10-02,True,1955 days,F
Alessandra Neri,6603008,2020-06-08,True,6742166,2022-10-02,True,846 days,F
Alessandra Nicoletti,6603238,2020-10-06,True,6600260,2022-04-09,True,550 days,F
Alessandra Paffi,6601835,2020-06-08,True,6759558,2020-09-02,True,86 days,F
Alessandra Palmigiano,6570383,2021-02-17,True,6717571,2022-10-02,True,592 days,F
Alessandra Pedrocchi,6601542,2020-06-08,True,6684586,2022-10-02,True,846 days,F
Alessandra Sciutti,6691273,2020-03-06,True,6773458,2022-08-08,True,885 days,F
Alessandra Tappini,6569374,2022-01-03,True,6568702,2022-11-22,True,323 days,F
Alessandra Teresa Cignarella,6735937,2022-04-01,True,6756091,2022-10-12,True,194 days,F
Alessia Amelio,6716274,2018-09-24,True,6710610,2022-12-16,True,1544 days,F
Alessia Bramanti,6701853,2020-05-21,True,6606046,2020-06-08,True,18 days,F
Alessia Di Fonso,6571666,2022-05-18,True,6576122,2023-01-15,True,242 days,F
Alev Taskin Gumus 0001,6733026,2021-10-28,True,6715211,2022-06-23,True,238 days,F
Alev Topuzoglu,6641756,2020-04-25,True,6641564,2020-10-26,True,184 days,F
Alevtina B. Glonina,6766225,2022-02-15,True,6765481,2022-02-23,True,8 days,F
Alexandra A. Tamouridou,6746895,2020-02-22,True,6749840,2020-06-15,True,114 days,F
Alexandra Branzan Albu,6760393,2020-09-02,True,6659398,2022-12-07,True,826 days,F
Alexandra Brintrup,6798077,2020-09-24,True,6586766,2022-10-24,True,760 days,F
Alexandra I. Cristea,6633608,2022-01-03,True,6614309,2022-05-24,True,141 days,F
Alexandra Igorevna Kononova,6766170,2021-10-14,True,6765933,2022-02-23,True,132 days,F
Alexandra Jimborean,6673783,2022-01-03,True,6670481,2022-08-16,True,225 days,F
Alexandra Kirsch,6679818,2020-02-24,True,6681221,2022-01-03,True,679 days,F
Alexandra Lagorio,6585915,2021-09-16,True,6586157,2022-02-08,True,145 days,F
Alexandra Medina-Borja,6734141,2018-02-27,True,6792678,2020-06-08,True,832 days,F
Alexandra Moraru,6627142,2022-06-10,True,6627505,2022-06-23,True,13 days,F
Alexandra Moutinho,6736309,2019-10-19,True,6734625,2019-12-19,True,61 days,F
Alexandra Ovetsky,6638258,2019-08-07,True,6666399,2020-10-02,True,422 days,F
Alexandra Pomares Quimbaya,6755418,2021-02-17,True,6745672,2022-11-14,True,635 days,F
Alexandra Rowland,6722188,2021-09-16,True,6721868,2022-02-23,True,160 days,F
Alexandra S. Voloshina,6760677,2020-10-26,True,6761016,2021-06-01,True,218 days,F
Alexandra Seceleanu,6637779,2020-10-26,True,6786795,2022-10-02,True,706 days,F
Alexandra Silva 0001,6809765,2019-05-23,True,6567712,2021-10-14,True,875 days,F
Alexandra Soveral Dias,6622004,2019-10-19,True,6621504,2022-08-16,True,1032 days,F
Alexandra Tragaki,6719959,2021-06-15,True,6719795,2021-10-14,True,121 days,F
Alfiya R. Masalimova,6648371,2022-06-10,True,6648708,2022-10-02,True,114 days,F
Alice Buffi,6604725,2020-06-08,True,6604352,2022-07-18,True,770 days,F
Alice Chirico,6773965,2020-05-30,True,6774155,2022-11-13,True,897 days,F
Alice Geminiani,6627780,2022-04-09,True,6684586,2022-10-02,True,176 days,F
Alice Jacquot,6568010,2017-12-28,True,6569283,2021-02-17,True,1147 days,F
Alice Meadows,6785094,2020-07-16,True,6785794,2022-03-16,True,608 days,F
Alice P. Chan,6691876,2020-10-01,True,6692441,2021-10-14,True,378 days,F
Alice Robbin,6622677,2020-08-25,True,6810466,2020-10-26,True,62 days,F
Alice Segato,6761159,2022-06-02,True,6776829,2022-07-27,True,55 days,F
Alice Silverberg,6789101,2017-05-28,True,6786367,2021-02-17,True,1361 days,F
Alice Yalaoui,6587629,2021-03-24,True,6585905,2021-06-01,True,69 days,F
Alicia Casals,6661408,2020-02-20,True,6682900,2022-10-02,True,955 days,F
Alicia Cordero,6805782,2020-03-04,True,6797657,2020-09-24,True,204 days,F
Alicia Esparza,6632347,2018-03-22,True,6608950,2021-03-02,True,1076 days,F
Alicia Graziosi Strandberg,6624534,2020-05-10,True,6764855,2020-05-26,True,16 days,F
Alicia Morales-Reyes,6714360,2019-09-16,True,6757299,2022-06-23,True,1011 days,F
Alicia Pérez,6755564,2021-02-17,True,6732006,2022-10-02,True,592 days,F
Alicja Mieszkowicz-Rolka,6773198,2017-05-20,True,6773341,2021-01-06,True,1327 days,F
Alina Ristea,6718657,2020-08-25,True,6720352,2021-09-16,True,387 days,F
Aline Baggio,6560845,2011-09-23,True,6560711,2011-10-19,True,26 days,F
Aline Carneiro Viana,6614630,2020-02-22,True,6612664,2022-03-16,True,753 days,F
Aline de Lima,6721085,2022-05-17,True,6718444,2022-06-13,True,27 days,F
Alison Adam,6804402,2020-02-21,True,6690910,2020-05-11,True,80 days,F
Alison Baverstock,6785946,2020-07-16,True,6785438,2021-05-14,True,302 days,F
Alison J. Heppenstall,6662693,2020-02-25,True,6721386,2023-01-17,True,1057 days,F
Alisson Jadavi Pereira da Silva,6746829,2021-08-26,True,6748527,2022-03-29,True,215 days,F
Aljona Zorina,6584880,2021-07-09,True,6804283,2021-10-06,True,89 days,F
Alla A. Shcheglova,6753821,2021-03-18,True,6754644,2021-03-19,True,1 days,F
Allison Eden,6628530,2020-04-01,True,6774872,2020-10-26,True,208 days,F
Allison M. Okamura,6616912,2020-04-02,True,6761016,2021-06-01,True,425 days,F
Alma Riska,6615884,2020-02-22,True,6616055,2022-01-03,True,681 days,F
Alma Y. Alanis,6714369,2020-09-05,True,6756946,2022-08-16,True,710 days,F
Almudena Ruiz-Iniesta,6699552,2020-09-29,True,6706038,2021-08-26,True,331 days,F
Alona Forkosh-Baruch,6613985,2020-06-16,True,6613771,2021-02-11,True,240 days,F
Aly F. Elrefaie,6783600,2020-07-30,True,6630824,2020-09-29,True,61 days,F
Amaia Lusa,6587158,2021-04-14,True,6795799,2022-06-23,True,435 days,F
Amalia F. Foka,6679689,2020-02-24,True,6733590,2021-09-16,True,570 days,F
Amanda Burcroff,6575310,2020-01-31,True,6570382,2020-08-17,True,199 days,F
Amanda J. C. Sharkey,6643694,2017-05-17,True,6643978,2019-06-02,True,746 days,F
Amanda J. Gregory,6795436,2020-06-08,True,6793761,2022-01-13,True,584 days,F
Amanda Prorok,6777024,2020-09-15,True,6617439,2020-10-20,True,35 days,F
Amanda Spink,6619638,2020-03-12,True,6619322,2020-10-08,True,210 days,F
Amelia Bilbao-Terol,6742885,2017-06-14,True,6793648,2020-09-05,True,1179 days,F
Amelia Zafra,6711703,2018-11-14,True,6596605,2022-12-05,True,1482 days,F
Ami Litman,6597190,2020-07-14,True,6567069,2021-02-17,True,218 days,F
Ami Marowka,6694964,2020-02-19,True,6587899,2020-07-30,True,162 days,F
Amira Benaidja,6781564,2022-06-13,True,6781671,2022-12-05,True,175 days,F
Amira M. Idrees,6731103,2021-06-25,True,6596309,2022-01-21,True,210 days,F
Amira Y. Haikal,6715584,2018-11-30,True,6711572,2019-07-05,True,217 days,F
Amita Jain,6658545,2020-05-10,True,6636850,2020-09-08,True,121 days,F
Amiya Biswas,6712058,2022-10-02,True,6708226,2022-12-05,True,64 days,F
Amiya Nayak,6710474,2017-05-26,True,6756803,2021-05-12,True,1447 days,F
Amor Chowdhury,6708931,2018-08-24,True,6594119,2020-07-22,True,698 days,F
Amor Jnifene,6707256,2020-02-11,True,6609693,2020-06-08,True,118 days,F
Amparo Alonso-Betanzos,6714828,2018-11-14,True,6596523,2022-09-19,True,1405 days,F
Amparo Fúster-Sabater,6711315,2019-06-02,True,6706093,2021-08-26,True,816 days,F
Amparo Latorre,6688612,2020-08-13,True,6688124,2020-12-29,True,138 days,F
Amparo M. Mármol,6730336,2017-06-14,True,6804576,2019-10-19,True,857 days,F
Amy Glen,6638156,2019-09-16,True,6566409,2021-02-17,True,520 days,F
Amy J. C. Trappey,6741020,2017-06-06,True,6655457,2020-10-08,True,1220 days,F
Amy L. Gonzales,6775743,2020-03-31,True,6773647,2020-05-30,True,60 days,F
Amy Loutfi,6610771,2019-01-21,True,6764673,2021-10-14,True,997 days,F
Amy M. Fu,6637037,2019-07-25,True,6637587,2019-08-07,True,13 days,F
Amy R. Reibman,6676061,2020-08-25,True,6674315,2022-10-02,True,768 days,F
Ana Alice Baptista,6613266,2020-10-26,True,6621708,2022-03-15,True,505 days,F
Ana Alonso Rodríguez,6564928,2020-03-13,True,6565118,2020-10-26,True,227 days,F
Ana Alves 0001,6720215,2020-10-26,True,6721771,2022-06-28,True,610 days,F
Ana Arruarte,6633624,2021-09-17,True,6633815,2022-11-07,True,416 days,F
Ana Belen Ruiz,6709710,2018-11-30,True,6732847,2020-06-15,True,563 days,F
Ana Belén Moreno,6797935,2020-09-24,True,6679875,2022-03-18,True,540 days,F
Ana Burusco,6640166,2020-06-18,True,6640655,2020-12-29,True,194 days,F
Ana Busic,6616154,2020-02-22,True,6615472,2022-05-13,True,811 days,F
Ana Carolina Lorena,6715475,2017-05-26,True,6620250,2022-06-13,True,1844 days,F
Ana Carolina Salgado,6789688,2005-01-07,True,6620075,2022-06-13,True,6366 days,F
Ana Cavalcanti 0001,6620079,2022-02-21,True,6566496,2022-04-09,True,47 days,F
Ana Cláudia Teodoro,6721419,2020-08-25,True,6718208,2022-12-05,True,832 days,F
Ana Cristina Bicharra Garcia,6744096,2019-09-25,True,6622991,2022-06-23,True,1002 days,F
Ana Fernández Vilas,6730796,2018-11-14,True,6742276,2020-06-15,True,579 days,F
Ana Gabriela Maguitman,6612219,2022-01-08,True,6737305,2022-10-18,True,283 days,F
Ana Galindo-Serrano,6581132,2020-03-12,True,6655062,2020-08-25,True,166 days,F
Ana García-Fornes,6639337,2020-12-29,True,6736084,2022-10-02,True,642 days,F
Ana García-Serrano,6737070,2018-11-14,True,6756066,2021-04-23,True,891 days,F
Ana Iglesias,6755804,2021-02-17,True,6643072,2022-04-09,True,416 days,F
Ana Isabel Marqués,6793639,2020-08-26,True,6658774,2021-06-01,True,279 days,F
Ana Isabel Montoya-Munoz,6783877,2022-02-17,True,6746751,2022-09-22,True,217 days,F
Ana Isabel Sacristán,6614216,2020-03-10,True,6613826,2020-05-19,True,70 days,F
Ana Jiménez Martín,6609303,2021-05-16,True,6746086,2022-06-02,True,382 days,F
Ana Karolinna Maia,6577968,2021-02-17,True,6665046,2021-07-13,True,146 days,F
Ana L. C. Bazzan,6789715,2007-03-02,True,6743951,2022-03-16,True,5493 days,F
Ana Lucia de Souza Madureira Felicio,6600908,2020-06-08,True,6603550,2020-10-03,True,117 days,F
Ana Lucila Sandoval Orozco,6744422,2017-06-14,True,6745559,2021-03-22,True,1377 days,F
Ana M. Barbancho,6580333,2020-03-12,True,6687203,2022-10-24,True,956 days,F
Ana M. Palacios,6734222,2017-06-06,True,6640979,2020-06-18,True,1108 days,F
Ana Margarida Cavaco,6747165,2021-06-25,True,6745012,2022-12-07,True,530 days,F
Ana Maria Acu,6692649,2022-01-03,True,6692698,2023-01-03,True,365 days,F
Ana Maria Mendonça,6732433,2019-09-25,True,6763163,2020-09-02,True,343 days,F
Ana Maria Tomé,6739960,2019-06-02,True,6685123,2021-05-14,True,712 days,F
Ana Marusic,6785870,2020-07-16,True,6785858,2022-11-13,True,850 days,F
Ana María Lara Palma,6690594,2020-05-11,True,6629122,2020-09-05,True,117 days,F
Ana María Sarmiento,6630307,2021-02-11,True,6630773,2021-04-09,True,57 days,F
Ana Mauleon,6805101,2017-05-26,True,6770342,2022-07-27,True,1888 days,F
Ana Mincholé,6684697,2020-02-22,True,6761866,2020-12-29,True,311 days,F
Ana Moura,6712654,2017-06-05,True,6568065,2021-02-17,True,1353 days,F
Ana Ortiz de Guinea,6804358,2020-02-21,True,6584897,2022-03-22,True,760 days,F
Ana Paiva 0001,6725534,2021-12-17,True,6776733,2022-06-23,True,188 days,F
Ana Paula Couto da Silva,6673908,2020-10-02,True,6717233,2021-11-30,True,424 days,F
Ana Paula F. D. Barbosa-Póvoa,6734595,2019-05-29,True,6586622,2022-06-28,True,1126 days,F
Ana Paula Rocha 0002,6683624,2020-02-22,True,6763535,2022-01-18,True,696 days,F
Ana Peleteiro-Ramallo,6619933,2020-05-20,True,6634837,2020-12-29,True,223 days,F
Ana Pradera,6640691,2020-10-26,True,6725644,2021-02-17,True,114 days,F
Ana Pérez,6641148,2020-10-26,True,6733497,2022-01-03,True,434 days,F
Ana R. Cavalli,6765942,2022-02-15,True,6620043,2022-06-13,True,118 days,F
Ana R. Teixeira,6607714,2020-06-08,True,6762805,2020-11-12,True,157 days,F
Ana Rusu,6599620,2022-01-05,True,6763122,2022-01-21,True,16 days,F
Ana S. Camanho,6733408,2020-01-15,True,6585274,2021-10-14,True,638 days,F
Ana Salagean 0001,6641339,2021-01-21,True,6641550,2022-05-13,True,477 days,F
Ana Silva 0001,6620291,2022-10-02,True,6569593,2022-11-02,True,31 days,F
Ana Sokolova,6615386,2020-03-27,True,6572743,2021-02-17,True,327 days,F
Ana Solodkin,6628175,2021-10-14,True,6627545,2022-10-02,True,353 days,F
Ana T. Belo,6621939,2022-08-25,True,6621600,2022-12-05,True,102 days,F
Anabel Martínez-Vargas,6710971,2018-11-30,True,6757445,2022-11-11,True,1442 days,F
Anahita Gitiforouz,6744915,2017-06-06,True,6652202,2020-04-16,True,1045 days,F
Analía Amandi,6733116,2017-05-26,True,6732431,2022-10-02,True,1955 days,F
Anastasia Papazafeiropoulou,6579947,2020-08-12,True,6589766,2022-10-02,True,781 days,F
Anastasia Sfiri,6649038,2022-05-17,True,6648348,2022-06-23,True,37 days,F
Anastasia V. Gorbunova,6753309,2021-12-28,True,6806451,2022-09-23,True,269 days,F
Anastasia Yu. Vasil'eva,6803738,2017-05-26,True,6803520,2017-06-14,True,19 days,F
Anastasiia O. Vediakova,6632013,2021-10-14,True,6632831,2022-04-09,True,177 days,F
Anastasiya Silaeva,6622072,2022-05-16,True,6621562,2022-12-07,True,205 days,F
Anca L. Ralescu,6631773,2020-04-16,True,6640293,2022-05-17,True,761 days,F
Andra Gumbus,6629335,2020-04-01,True,6690601,2020-05-11,True,40 days,F
Andrea A. diSessa,6614121,2020-05-19,True,6697118,2020-07-09,True,51 days,F
Andrea Acquaviva,6760032,2020-09-02,True,6700526,2021-12-15,True,469 days,F
Andrea Angioni,6601024,2020-09-19,True,6600834,2022-06-23,True,642 days,F
Andrea Asperti,6570251,2022-04-09,True,6565251,2022-06-23,True,75 days,F
Andrea Bacciotti,6632474,2017-05-28,True,6727706,2021-02-17,True,1361 days,F
Andrea Baiocchi,6615462,2020-02-22,True,6709211,2020-06-15,True,114 days,F
Andrea Barth,6808571,2020-03-04,True,6645436,2022-12-06,True,1007 days,F
Andrea Bartolini,6700623,2020-05-21,True,6673074,2022-01-03,True,592 days,F
Andrea Baschirotto,6600888,2020-06-08,True,6608157,2020-12-29,True,204 days,F
Andrea Bender,6707460,2020-10-01,True,6707519,2022-11-08,True,768 days,F
Andrea Benigni,6603923,2020-06-08,True,6599406,2022-06-23,True,745 days,F
Andrea Bernieri,6606489,2020-06-08,True,6599119,2022-04-09,True,670 days,F
Andrea Bevilacqua,6811956,2020-06-15,True,6811144,2022-06-23,True,738 days,F
Andrea Bisoffi,6564494,2021-05-14,True,6562192,2022-07-27,True,439 days,F
Andrea Bonaccorsi,6735390,2022-08-16,True,6656404,2022-10-02,True,47 days,F
Andrea Bonarini,6681814,2020-02-24,True,6691069,2022-06-28,True,855 days,F
Andrea Bondavalli,6634875,2004-05-05,True,6619907,2022-06-13,True,6613 days,F
Andrea Boni,6601474,2020-06-08,True,6609601,2023-01-17,True,953 days,F
Andrea Bonito,6786962,2021-02-17,True,6786454,2022-10-02,True,592 days,F
Andrea Borghesi,6672446,2020-10-02,True,6673074,2022-01-03,True,458 days,F
Andrea Caiti,6718598,2020-08-25,True,6776727,2020-10-26,True,62 days,F
Andrea Calabria,6790478,2018-11-14,True,6722554,2020-05-11,True,544 days,F
Andrea Calimera,6811065,2020-05-22,True,6678696,2022-04-01,True,679 days,F
Andrea Campagner,6567597,2022-03-15,True,6744771,2023-01-05,True,296 days,F
Andrea Canessa,6682623,2020-02-24,True,6691288,2020-12-29,True,309 days,F
Andrea Cantini,6766444,2017-05-17,True,6766933,2021-03-29,True,1412 days,F
Andrea Casalino,6701697,2020-05-21,True,6617944,2021-01-21,True,245 days,F
Andrea Cataldo,6599930,2020-06-08,True,6604123,2022-12-07,True,912 days,F
Andrea Cavallaro,6675309,2020-08-25,True,6679114,2022-04-09,True,592 days,F
Andrea Ceccarelli,6601874,2020-06-08,True,6620016,2021-07-25,True,412 days,F
Andrea Clematis,6790251,2019-09-25,True,6597547,2020-07-14,True,293 days,F
Andrea Costa,6607147,2020-06-08,True,6603487,2022-09-10,True,824 days,F
Andrea Cozza,6607390,2020-06-08,True,6603764,2020-10-26,True,140 days,F
Andrea Cristofaro,6632333,2019-03-08,True,6777318,2021-09-23,True,930 days,F
Andrea De Lorenzo,6736147,2020-09-05,True,6668676,2020-10-26,True,51 days,F
Andrea De Marchi,6603045,2020-06-08,True,6610494,2020-10-26,True,140 days,F
Andrea De Michele,6604999,2020-06-08,True,6610504,2021-10-14,True,493 days,F
Andrea De Montis,6663074,2020-02-25,True,6663405,2020-10-26,True,244 days,F
Andrea Del Prete,6679698,2020-02-24,True,6777487,2020-03-27,True,32 days,F
Andrea Domenici,6790148,2017-06-06,True,6705421,2020-05-21,True,1080 days,F
Andrea E. F. Clementi,6577702,2007-09-21,True,6669283,2022-10-02,True,5490 days,F
Andrea E. Gaughan,6721276,2021-06-15,True,6662817,2022-10-02,True,474 days,F
Andrea Emilio Rizzoli,6805915,2020-12-29,True,6807917,2022-11-07,True,678 days,F
Andrea Esuli,6732756,2018-11-14,True,6612515,2022-08-16,True,1371 days,F
Andrea F. Abate,6659177,2020-02-20,True,6703567,2022-10-18,True,971 days,F
Andrea Facchinetti,6757942,2020-09-02,True,6763257,2022-10-02,True,760 days,F
Andrea Fioravanti,6604245,2021-09-16,True,6604824,2022-01-11,True,117 days,F
Andrea Formisano 0001,6566651,2021-02-17,True,6670460,2021-06-15,True,118 days,F
Andrea Frosini,6570410,2019-07-05,True,6577257,2021-11-12,True,861 days,F
Andrea Fusiello,6659185,2020-02-20,True,6679308,2020-08-25,True,187 days,F
Andrea Gaggioli,6773447,2020-03-31,True,6774155,2022-11-13,True,957 days,F
Andrea Gaiardo 0002,6714036,2021-03-10,True,6621799,2021-10-14,True,218 days,F
Andrea Galeotti,6770730,2020-02-24,True,6772604,2021-04-08,True,409 days,F
Andrea Gallidabino,6619477,2020-03-05,True,6619325,2020-07-10,True,127 days,F
Andrea Garulli,6777036,2017-06-05,True,6564201,2022-02-23,True,1724 days,F
Andrea Gasparri,6776908,2019-09-16,True,6617231,2022-07-25,True,1043 days,F
Andrea Genovese,6734505,2017-06-06,True,6731738,2019-10-19,True,865 days,F
Andrea Giordano,6684085,2020-02-22,True,6634782,2022-01-08,True,686 days,F
Andrea Giorgetti,6601092,2021-02-11,True,6582808,2022-06-23,True,497 days,F
Andrea Grassi,6585356,2021-06-01,True,6587090,2022-10-02,True,488 days,F
Andrea Greco,6773904,2021-10-14,True,6623665,2022-10-02,True,353 days,F
Andrea Grosso,6794294,2020-09-05,True,6572201,2022-06-28,True,661 days,F
Andrea J. Goldsmith,6582527,2020-06-15,True,6650896,2020-12-21,True,189 days,F
Andrea Kienle,6628666,2020-05-13,True,6699796,2020-09-29,True,139 days,F
Andrea L. Beerwinkle,6614169,2021-09-08,True,6614138,2022-10-02,True,389 days,F
Andrea L. Bertozzi,6787182,2019-09-25,True,6581712,2020-03-12,True,169 days,F
Andrea L. Kavanaugh,6621467,2020-05-21,True,6623093,2022-01-13,True,602 days,F
Andrea Lecchini,6633399,2017-05-28,True,6563005,2020-02-24,True,1002 days,F
Andrea Lockerd Thomaz,6776391,2017-05-18,True,6776475,2021-10-14,True,1610 days,F
Andrea Luvisi,6748681,2020-02-22,True,6748499,2021-10-14,True,600 days,F
Andrea M. Tonello,6580205,2020-03-12,True,6598732,2020-06-08,True,88 days,F
Andrea Maggiolo-Schettini,6767157,2017-05-17,True,6575916,2022-10-02,True,1964 days,F
Andrea Maria Zanchettin,6777897,2019-12-27,True,6617944,2021-01-21,True,391 days,F
Andrea Marin,6614923,2020-02-22,True,6616292,2022-06-23,True,852 days,F
Andrea Marino,6612520,2020-04-16,True,6571713,2021-10-14,True,546 days,F
Andrea Mariscotti,6605449,2020-09-05,True,6603577,2022-09-10,True,735 days,F
